name,artist,artist_first_letter,artist_songs_ratio,year,song_popularity,artist_popularity,duration_ms,key,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,genres,views,old_chart_position,new_chart_location
seventies_You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,B,0.002012072,1974,41,63,210080,11,4,4.05E-05,0.461,0.549,0.00616,-10.64,0.041,0.632,118.592,['Rock music'],24299,0,0
seventies_No More Tears (Enough Is Enough) (feat. Donna Summer),Barbra Streisand,B,0.002012072,2002,45,68,282493,2,4,0.51,0.634,0.644,7.09E-05,-8.234,0.0838,0.286,135.24,[],0,0,0
seventies_Mandy,Barry Manilow,B,0.004024145,1975,66,66,213333,10,4,0.418,0.308,0.464,2.49E-06,-9.032,0.0279,0.318,103.734,['Pop music'],19228,9,98
seventies_Copacabana (At the Copa),Barry Manilow,B,0.004024145,1978,58,66,236760,7,4,0.333,0.606,0.899,0.000102,-6.412,0.0758,0.66,116.735,['Disco'],65642,0,36
"seventies_You're The First, The Last, My Everything",Barry White,B,0.004024145,1974,59,69,208933,5,4,0.00367,0.631,0.59,0.00299,-12.138,0.0297,0.927,130.145,"['R&B', 'Disco']",21924,0,77
"seventies_Can't Get Enough Of Your Love, Babe",Barry White,B,0.004024145,1974,64,69,274000,5,4,0.114,0.729,0.78,0.106,-7.604,0.0631,0.795,111.833,"['Disco music', 'Soul music']",25404,0,0
seventies_I Only Want to Be with You,Bay City Rollers,B,0.002012072,1963,25,52,217466,2,4,0.0597,0.635,0.962,0.000113,-8.015,0.0557,0.968,132.802,['Pop music'],67551,0,0
seventies_Tragedy,Bee Gees,B,0.012072435,1979,62,78,303333,2,4,0.0889,0.665,0.532,0.0109,-10.793,0.0277,0.81,117.955,['Disco-rock'],25425,0,60
seventies_How Deep Is Your Love,Bee Gees,B,0.012072435,1979,74,78,245200,5,4,0.105,0.633,0.357,0,-9.366,0.0264,0.674,104.938,['Soft rock'],77156,4,14
seventies_Stayin Alive,Bee Gees,B,0.012072435,1977,49,78,283146,10,4,0.0328,0.703,0.831,0.00839,-7.225,0.0349,0.949,103.573,['Disco'],114300,0,7
seventies_You Should Be Dancing,Bee Gees,B,0.012072435,1976,66,78,258933,0,4,0.0241,0.683,0.725,0.17,-10.973,0.034,0.961,123.011,['Disco'],23001,0,0
seventies_Night Fever,Bee Gees,B,0.012072435,1979,69,78,212253,1,4,0.0266,0.733,0.795,0.000948,-7.224,0.0249,0.892,109.122,['Disco'],31451,3,0
seventies_More Than A Woman,Bee Gees,B,0.012072435,1977,67,78,197213,7,4,0.163,0.632,0.683,0.00013,-6.434,0.0383,0.701,105.955,['Disco'],26718,0,0
seventies_The Rose,Bette Midler,B,0.002012072,1979,63,61,221373,0,4,0.901,0.347,0.228,0,-9.667,0.0296,0.184,133.574,"['Vocal music', 'Rock music', 'Blues']",10324,0,0
seventies_In The Street,Big Star,B,0.002012072,1972,35,52,174733,0,4,0.000544,0.466,0.82,0.00898,-5.459,0.0365,0.624,124.917,['Power pop'],13216,0,0
seventies_Ain't No Sunshine,Bill Withers,B,0.006036217,1971,74,73,125093,4,4,0.457,0.479,0.416,1.72E-05,-11.451,0.124,0.514,79.593,"['Rhythm and blues', 'Soul music', 'Blues']",85305,0,20
seventies_Lean on Me,Bill Withers,B,0.006036217,1972,67,73,258834,0,4,0.782,0.619,0.22,1.19E-05,-13.843,0.0667,0.423,75.16,['Soul music'],72653,0,0
seventies_Lovely Day,Bill Withers,B,0.006036217,1977,72,73,254560,9,4,0.292,0.69,0.651,0.00241,-8.267,0.0324,0.706,97.918,"['R&B', 'Soul music', 'Funk', 'Disco']",54734,0,0
seventies_Just the Way You Are,Billy Joel,B,0.014084507,1977,65,80,290573,7,4,0.703,0.589,0.453,2.54E-05,-8.912,0.0397,0.513,139.148,['Soft rock'],56197,0,97
seventies_Honesty,Billy Joel,B,0.014084507,1979,51,80,230960,10,4,0.399,0.549,0.42,0,-9.297,0.0309,0.234,135.487,"['Soft rock', 'Soul music']",16574,0,55
seventies_Piano Man,Billy Joel,B,0.014084507,1973,67,80,336200,0,3,0.618,0.334,0.477,4.17E-06,-8.806,0.0276,0.405,179.239,"['Pop rock', 'Soft rock', 'Country rock']",67032,0,24
seventies_Movin' Out (Anthony's Song),Billy Joel,B,0.014084507,1977,53,80,210760,2,4,0.465,0.664,0.88,1.63E-05,-5.009,0.0326,0.895,133.898,['Rock music'],29565,0,0
seventies_My Life,Billy Joel,B,0.014084507,1978,62,80,284000,2,4,0.108,0.741,0.647,0.00139,-12.878,0.0427,0.804,131.097,"['Pop rock', 'Art pop']",25875,0,0
seventies_New York State of Mind,Billy Joel,B,0.014084507,1976,58,80,362400,0,4,0.495,0.506,0.373,3.72E-05,-9.473,0.0347,0.195,121.268,"['Jazz', 'Soft rock']",26184,0,0
seventies_She's Always a Woman,Billy Joel,B,0.014084507,1977,69,80,201373,3,3,0.797,0.292,0.324,0.000473,-11.996,0.0346,0.384,176.631,"['Soft rock', 'Folk rock']",39338,0,0
seventies_Me and Mrs. Jones,Billy Paul,B,0.002012072,1972,56,58,285760,0,4,0.388,0.303,0.555,1.16E-06,-9.259,0.0482,0.447,67.322,['Soul music'],42322,0,0
seventies_Nothing From Nothing,Billy Preston,B,0.002012072,1974,43,52,156200,9,4,0.588,0.809,0.831,0.0135,-4.027,0.0288,0.92,102.83,['Soul music'],11014,0,0
seventies_Iron Man,Black Sabbath,B,0.006036217,1971,68,76,354773,6,4,0.00361,0.336,0.795,0.00143,-10.845,0.0897,0.417,155.271,['Heavy metal music'],94911,0,0
seventies_War Pigs,Black Sabbath,B,0.006036217,1970,63,76,474400,6,4,0.231,0.462,0.628,0.00126,-12.348,0.0581,0.447,90.256,['Heavy metal music'],65817,0,0
seventies_Paranoid,Black Sabbath,B,0.006036217,1970,74,76,168440,4,4,4.22E-05,0.415,0.646,0.000849,-12.021,0.0699,0.409,163.046,"['Heavy metal music', 'Proto-punk']",48867,0,0
seventies_Heart Of Glass,Blondie,B,0.010060362,1979,47,72,252186,4,4,0.00114,0.726,0.696,0.0771,-8.017,0.0333,0.41,114.691,"['Disco', 'New wave music']",78820,0,75
seventies_One Way Or Another,Blondie,B,0.010060362,1979,60,72,216400,6,4,0.0792,0.47,0.796,7.35E-05,-12.055,0.0517,0.909,161.414,"['Punk rock', 'New wave music', 'Power pop']",51581,0,51
seventies_Hanging On The Telephone,Blondie,B,0.010060362,1978,39,72,153066,7,4,0.0215,0.501,0.765,0.00182,-12.47,0.0489,0.548,150.581,"['Power pop', 'New wave music']",18532,0,0
seventies_Dreaming,Blondie,B,0.010060362,1979,47,72,188133,2,4,0.00341,0.386,0.711,0.000118,-12.448,0.0361,0.771,160.193,['Power pop'],14375,0,0
seventies_Denis,Blondie,B,0.010060362,2006,42,72,139413,0,4,0.000376,0.529,0.771,0.00508,-6.726,0.0462,0.863,138.905,[],448757,0,0
seventies_Don't Be Fooled by the Name,Blue Swede,B,0.002012072,2014,25,45,232960,5,4,0.239,0.652,0.82,3.18E-06,-6.551,0.0557,0.961,99.102,[],0,0,0
seventies_(Don't Fear) The Reaper,Blue Öyster Cult,B,0.002012072,1976,74,68,308120,9,4,0.0029,0.333,0.927,0.000211,-8.55,0.0733,0.382,141.47,"['Hard rock', 'Psychedelic rock', 'Soft rock']",146297,0,0
seventies_Forever Young,Bob Dylan,B,0.010060362,1974,50,78,296133,2,4,0.255,0.488,0.493,0.000181,-9.878,0.0464,0.389,135.093,['Rock music'],61507,0,90
seventies_Knockin' On Heaven's Door,Bob Dylan,B,0.010060362,1973,39,78,149960,7,4,0.251,0.509,0.411,0.205,-11.874,0.0289,0.26,139.999,"['Folk rock', 'Gospel music']",189606,0,10
seventies_Hurricane,Bob Dylan,B,0.010060362,1976,67,78,512733,0,4,0.0409,0.509,0.827,0,-7.715,0.079,0.743,135.601,"['Folk rock', 'Protest song']",99568,23,0
seventies_Sara,Bob Dylan,B,0.010060362,1976,43,78,331493,4,3,0.36,0.432,0.504,0,-8.997,0.0382,0.276,156.278,[],227281,0,0
seventies_One More Cup of Coffee,Bob Dylan,B,0.010060362,1976,52,78,224733,9,4,0.167,0.531,0.473,2.00E-06,-9.477,0.0305,0.306,139.176,[],0,0,0
seventies_I Shot The Sheriff,Bob Marley & The Wailers,B,0.012072435,1974,46,62,280466,8,4,0.338,0.797,0.644,6.51E-05,-9.253,0.188,0.706,96.87,['Reggae'],100582,10,92
seventies_Is This Love,Bob Marley & The Wailers,B,0.012072435,1978,75,84,232200,6,4,0.11,0.776,0.559,0,-8.375,0.103,0.758,122.242,['Reggae'],23719,0,73
seventies_One Love,Bob Marley & The Wailers,B,0.012072435,1977,42,84,202160,5,4,0.186,0.66,0.486,0.00097,-11.969,0.189,0.936,121.863,['Roots reggae'],28748,0,43
"seventies_No Woman, No Cry",Bob Marley & The Wailers,B,0.012072435,1975,69,84,427800,1,4,0.261,0.655,0.657,0.0204,-9.325,0.067,0.593,78.223,['Reggae'],100773,0,17
seventies_Jamming,Bob Marley & The Wailers,B,0.012072435,1977,73,84,211000,11,4,0.102,0.934,0.467,3.98E-05,-10.99,0.307,0.73,123.583,['Reggae'],14754,0,0
seventies_Waiting In Vain,Bob Marley & The Wailers,B,0.012072435,1977,70,84,256240,8,4,0.0292,0.769,0.457,3.07E-05,-11.501,0.327,0.806,78.789,['Reggae'],14285,0,0
"seventies_Get Up, Stand Up",Bob Marley & The Wailers,B,0.012072435,1973,43,84,221933,9,4,0.344,0.822,0.547,3.54E-05,-9.537,0.381,0.863,148.88,['Reggae'],21497,0,0
seventies_Across 110th Street,Bobby Womack,B,0.002012072,1993,58,61,230506,11,4,0.107,0.476,0.585,1.43E-05,-14.211,0.0478,0.523,110.275,[],35607,0,0
seventies_Daddy Cool,Boney M.,B,0.00804829,1976,67,68,208600,5,4,0.281,0.763,0.777,0.78,-6.932,0.0364,0.929,124.431,['Disco'],43397,0,71
seventies_Sunny,Boney M.,B,0.00804829,1977,63,68,242240,0,4,0.0876,0.647,0.868,0.124,-6.427,0.105,0.803,121.822,[],464788,4,40
seventies_Ma Baker,Boney M.,B,0.00804829,1977,52,68,274773,2,4,0.0392,0.744,0.728,4.90E-05,-7.03,0.142,0.904,129.001,['Disco'],38352,2,0
seventies_Rivers of Babylon,Boney M.,B,0.00804829,1979,61,68,261266,7,4,0.13,0.729,0.851,0.000912,-7.033,0.0362,0.741,115.118,"['Disco', 'Rocksteady', 'Reggae']",76779,6,0
seventies_More Than a Feeling,Boston,B,0.002012072,1976,77,72,285133,7,4,0.000894,0.377,0.682,0.00217,-8.039,0.0299,0.288,108.736,"['Arena rock', 'Hard rock']",84780,0,61
seventies_If,Bread,B,0.002012072,1973,59,67,155773,9,4,0.912,0.388,0.176,0.000336,-16.952,0.0299,0.342,97.628,[],315555,0,0
seventies_Save Your Kisses for Me,Brotherman Of Man,B,0.002012072,2013,36,26,178586,7,4,0.246,0.736,0.644,0,-6.945,0.0334,0.865,93.757,[],0,0,0
seventies_Born to Run,Bruce Springsteen,B,0.002012072,1975,72,81,269920,4,4,0.00501,0.27,0.944,2.05E-05,-4.199,0.0975,0.606,146.347,"['Rock music', 'Power pop']",27100,0,0
seventies_Let's Stick Together,Bryan Ferry,B,0.002012072,1986,46,62,179200,9,4,0.0558,0.785,0.734,0.00077,-11.003,0.0413,0.975,119.818,"['Rhythm and blues', 'Glam rock']",23760,0,0
seventies_Ever Fallen in Love (With Someone You Shouldn't've?),Buzzcocks,B,0.002012072,1978,60,57,163693,4,4,0.000862,0.266,0.831,0,-9.07,0.0453,0.778,175.514,"['Punk rock', 'Pop punk', 'Power pop']",29912,0,0
seventies_Rhayader,Camel,C,0.002012072,1975,35,49,181986,3,4,0.833,0.402,0.432,0.965,-12.723,0.0289,0.579,143.756,[],0,0,0
seventies_Vitamin C,CAN,C,0.002012072,1972,50,54,212000,11,4,0.00627,0.63,0.654,0.739,-12.58,0.045,0.857,117.15,[],530093,0,0
seventies_Kung Fu Fighting,Carl Douglas,C,0.002012072,1974,68,58,197693,2,4,0.0422,0.598,0.673,6.84E-05,-10.431,0.0693,0.59,102.035,['Disco'],75966,25,0
seventies_You're so Vain,Carly Simon,C,0.002012072,1972,73,67,258411,0,4,0.157,0.659,0.678,6.69E-06,-8.18,0.0313,0.647,106.186,"['Pop music', 'Soft rock']",210845,0,69
seventies_I Feel the Earth Move,Carole King,C,0.006036217,1971,64,68,178560,7,4,0.648,0.711,0.576,0.00226,-8.784,0.0305,0.645,120.116,['Pop rock'],25374,0,0
seventies_It's Too Late,Carole King,C,0.006036217,1971,66,68,233173,9,4,0.498,0.45,0.441,0.00562,-12.718,0.0352,0.811,208.282,"['Soft rock', 'Doo-wop']",31882,0,0
seventies_So Far Away,Carole King,C,0.006036217,1971,58,68,235626,2,4,0.895,0.488,0.172,3.52E-05,-14.264,0.0372,0.362,143.631,"['Folk rock', 'Soft rock']",15488,0,0
seventies_Top Of The World,Carpenters,C,0.012072435,1973,61,70,179173,10,4,0.806,0.379,0.343,0,-12.993,0.0385,0.694,184.301,['Country pop'],0,0,94
seventies_Superstar,Carpenters,C,0.012072435,1969,52,70,231506,8,4,0.728,0.306,0.253,4.89E-05,-11.177,0.0294,0.171,83.175,"['Adult contemporary', 'Pop rock', 'Soft rock']",38029,0,0
seventies_We've Only Just Begun,Carpenters,C,0.012072435,1970,56,70,184426,9,4,0.749,0.373,0.287,9.41E-06,-13.461,0.0306,0.317,86.467,"['Soft rock', 'Traditional pop']",36930,0,0
seventies_(They Long To Be) Close To You,Carpenters,C,0.012072435,1970,61,70,273933,8,4,0.726,0.528,0.233,0.000108,-15.362,0.0346,0.208,89.044,"['Pop music', 'Soft rock']",61795,0,0
seventies_Rainy Days And Mondays,Carpenters,C,0.012072435,1971,56,70,218893,10,4,0.852,0.351,0.235,0,-11.513,0.0323,0.218,74.72,['Pop music'],19725,0,0
seventies_Yesterday Once More,Carpenters,C,0.012072435,1973,62,70,233533,4,4,0.672,0.254,0.38,0,-13.806,0.0337,0.408,168.496,['Pop music'],23431,3,0
seventies_Supernature,Cerrone,C,0.002012072,2014,45,50,585374,5,4,0.00219,0.619,0.948,0.22,-6.641,0.0432,0.82,123.016,['Disco'],6712,0,0
seventies_I'm Every Woman,Chaka Khan,C,0.002012072,1978,62,69,247413,0,4,0.127,0.617,0.879,5.71E-05,-7.564,0.0455,0.746,114.453,['Disco'],58082,0,0
seventies_Tous les visages de l'amour,Charles Aznavour,C,0.002012072,1974,42,65,147466,2,4,0.499,0.311,0.489,0,-8.686,0.0358,0.23,131.041,['Pop music'],48067,0,0
seventies_The Most Beautiful Girl,Charlie Rich,C,0.002012072,1974,52,53,162866,7,4,0.702,0.566,0.409,3.36E-06,-10.379,0.0265,0.458,103.233,['Country music'],18480,6,0
seventies_I Want Your Love,CHIC,C,0.006036217,1979,59,67,413586,9,4,0.0185,0.699,0.604,0.073,-13.404,0.0359,0.96,114.226,['Disco'],17422,0,0
seventies_Good Times,CHIC,C,0.006036217,1979,63,67,495400,11,4,0.148,0.864,0.876,7.19E-05,-7.297,0.0488,0.802,110.536,['Disco'],40438,0,0
seventies_Le Freak,CHIC,C,0.006036217,1978,33,67,213666,7,4,0.0282,0.835,0.792,0.0003,-7.005,0.0614,0.815,119.941,"['Disco', 'Funk']",63459,0,0
seventies_If You Leave Me Now,Chicago,C,0.002012072,1976,72,73,235373,11,4,0.0193,0.429,0.564,0.000828,-6.784,0.0268,0.276,104.212,['Soft rock'],48129,0,0
seventies_Son Of My Father,Chicory Tip,C,0.002012072,1972,34,31,187677,5,4,0.0698,0.62,0.47,0.00592,-10.478,0.0309,0.387,129.758,"['Glam rock', 'Electronic music']",11103,0,0
seventies_Fool (If You Think It's Over),Chris Rea,C,0.002012072,1978,40,59,243346,11,4,0.0395,0.704,0.466,7.78E-06,-6.931,0.0311,0.872,110.199,['Soft rock'],17491,0,0
seventies_Yellow River,Christie,C,0.002012072,1970,46,40,165960,4,4,0.0859,0.627,0.544,0,-11.436,0.029,0.877,129.851,['Pop rock'],21312,5,0
seventies_Brick House,Commodores,C,0.004024145,1977,66,72,208893,4,4,0.087,0.845,0.783,0.00466,-10.5,0.0666,0.577,107.928,['Funk'],47740,0,0
seventies_Easy,Commodores,C,0.004024145,1977,76,72,256426,10,4,0.147,0.598,0.353,3.91E-05,-15.06,0.0343,0.342,132.457,['Soul music'],82543,0,0
seventies_Have You Ever Seen The Rain,Creedence Clearwater Revival,C,0.002012072,1971,76,81,160133,0,4,0.0664,0.741,0.697,2.28E-05,-7.028,0.0277,0.774,116.109,"['Roots rock', 'Country rock']",107193,0,0
seventies_Helplessly Hoping,"Crosby, Stills & Nash",C,0.002012072,1969,64,66,157893,7,4,0.914,0.567,0.159,0,-13.648,0.0331,0.436,146.913,['Folk rock'],19265,0,0
seventies_Our House,"Crosby, Stills, Nash & Young",C,0.004024145,1970,66,67,179760,9,4,0.896,0.593,0.205,5.46E-05,-14.601,0.0479,0.377,140.279,"['Baroque pop', 'Soft rock', 'Folk rock']",38470,0,0
seventies_Ohio,"Crosby, Stills, Nash & Young",C,0.004024145,1970,66,67,183733,0,4,0.261,0.445,0.529,0.0162,-10.94,0.026,0.749,79.296,['Hard rock'],70644,0,0
seventies_Move On Up,Curtis Mayfield,C,0.006036217,1971,65,65,165789,11,4,0.417,0.538,0.969,0.00154,-5.626,0.0906,0.928,138.652,"['Funk', 'Soul music']",21954,0,0
seventies_Superfly,Curtis Mayfield,C,0.006036217,1972,55,65,233293,2,4,0.535,0.779,0.61,1.20E-05,-11.767,0.106,0.734,120.216,"['Funk', 'Soul music']",8532,0,0
seventies_Pusherman,Curtis Mayfield,C,0.006036217,1972,54,65,304400,10,4,0.362,0.85,0.508,0.073,-14.024,0.044,0.945,126.5,[],4749,0,0
seventies_Paroles paroles,Dalida,D,0.002012072,1972,52,58,245666,5,4,0.753,0.565,0.557,0,-9.605,0.0474,0.381,125.216,[],16968,0,0
seventies_Heroes,David Bowie,D,0.026156942,1977,72,83,371413,7,4,0.000671,0.49,0.758,0.484,-6.491,0.0297,0.435,112.114,['Art rock'],132222,0,85
seventies_Changes,David Bowie,D,0.026156942,1972,63,83,217746,0,4,0.505,0.547,0.308,0,-11.75,0.0377,0.41,114.719,['Art pop'],52414,0,84
seventies_Ziggy Stardust,David Bowie,D,0.026156942,1972,61,83,194440,7,4,0.048,0.44,0.565,0,-11.657,0.121,0.495,161.124,['Glam rock'],32185,0,48
seventies_Life on Mars?,David Bowie,D,0.026156942,1971,68,83,235986,10,4,0.639,0.442,0.384,7.70E-05,-14.635,0.0414,0.216,123.281,"['Glam rock', 'Art rock']",76793,0,41
seventies_Starman,David Bowie,D,0.026156942,1972,46,83,260240,5,4,0.2,0.446,0.395,0,-13.371,0.0275,0.517,100.415,"['Pop rock', 'Glam rock']",62785,0,39
seventies_The Man Who Sold The World,David Bowie,D,0.026156942,1970,59,83,241346,2,4,0.642,0.474,0.387,0.00557,-14.416,0.0305,0.546,118.488,"['Hard rock', 'Glam rock', 'Blues rock', 'Folk rock']",127670,0,0
seventies_Rebel Rebel,David Bowie,D,0.026156942,1974,72,83,274746,9,4,0.209,0.635,0.686,0.0176,-15.648,0.053,0.464,125.988,"['Glam rock', 'Proto-punk']",45436,0,0
seventies_Five Years,David Bowie,D,0.026156942,1972,55,83,283752,7,3,0.142,0.46,0.326,1.01E-05,-10.699,0.0418,0.321,152.54,"['Glam rock', 'Art rock']",17992,0,0
seventies_Sound and Vision,David Bowie,D,0.026156942,1977,58,83,184381,2,4,0.0319,0.667,0.803,0.0486,-8.846,0.0422,0.803,105.892,[],20573,0,0
seventies_Aladdin Sane,David Bowie,D,0.026156942,1973,40,83,310426,2,4,0.209,0.42,0.713,0.000586,-10.286,0.0409,0.555,117.853,"['Glam rock', 'Hard rock', 'Art rock']",158000,0,0
seventies_Young Americans,David Bowie,D,0.026156942,1975,56,83,313706,4,4,0.171,0.614,0.763,0,-8.949,0.133,0.885,84.236,"['Blue-eyed soul', 'Rhythm and blues']",116021,0,0
seventies_Wild Is the Wind,David Bowie,D,0.026156942,1976,49,83,366360,9,4,0.0156,0.522,0.58,0.00168,-12.914,0.0324,0.493,98.489,['Blue-eyed soul'],35098,0,0
seventies_Moonage Daydream,David Bowie,D,0.026156942,1971,67,83,279693,11,4,0.0407,0.561,0.601,0.000147,-11.209,0.0348,0.752,144.477,['Art rock'],32687,0,0
seventies_Smoke On The Water,Deep Purple,D,0.006036217,1973,73,73,340742,0,4,0.13,0.598,0.676,0.225,-9.211,0.0279,0.805,114.169,"['Hard rock', 'Heavy metal music']",130012,0,32
seventies_Highway Star,Deep Purple,D,0.006036217,1972,40,73,367946,9,4,0.00307,0.252,0.874,0.014,-6.596,0.0602,0.377,172.804,"['Hard rock', 'Heavy metal music']",28058,0,0
seventies_Child in Time,Deep Purple,D,0.006036217,1970,53,73,619266,9,4,0.313,0.331,0.34,0.607,-14.784,0.0369,0.365,126.672,"['Art rock', 'Hard rock', 'Heavy metal music', 'Progressive rock']",32555,0,0
seventies_Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,D,0.002012072,1975,53,73,201688,0,4,0.837,0.35,0.312,0.022,-14.987,0.0349,0.346,139.735,"['Pop music', 'Soul music', 'Contemporary R&B']",24971,0,0
seventies_Sultans Of Swing,Dire Straits,D,0.002012072,1978,77,78,348624,5,4,0.0614,0.733,0.794,0.0367,-10.023,0.0307,0.931,148.174,['Pub rock (United Kingdom)'],113733,0,26
